stream,method,n,final_average_accuracy_mean,final_average_accuracy_sd,final_average_accuracy_ci95_low,final_average_accuracy_ci95_high,average_incremental_accuracy_mean,average_incremental_accuracy_sd,average_incremental_accuracy_ci95_low,average_incremental_accuracy_ci95_high,mean_new_task_accuracy_mean,mean_new_task_accuracy_sd,mean_new_task_accuracy_ci95_low,mean_new_task_accuracy_ci95_high,backward_transfer_mean,backward_transfer_sd,backward_transfer_ci95_low,backward_transfer_ci95_high,mean_forgetting_mean,mean_forgetting_sd,mean_forgetting_ci95_low,mean_forgetting_ci95_high,worst_forgetting_mean,worst_forgetting_sd,worst_forgetting_ci95_low,worst_forgetting_ci95_high,max_anchor_drift_mean,max_anchor_drift_sd,max_anchor_drift_ci95_low,max_anchor_drift_ci95_high,elapsed_s_mean,elapsed_s_sd,elapsed_s_ci95_low,elapsed_s_ci95_high,parameter_bytes_mean,parameter_bytes_sd,parameter_bytes_ci95_low,parameter_bytes_ci95_high
permuted_digits,joint_refit,20,0.9393148148148149,0.009085126737251674,0.9350628446176303,0.9435667850119995,0.9418024691358025,0.009830252141340999,0.9372017695149146,0.9464031687566903,0.9432222222222224,0.008693515666376985,0.9391535316479207,0.9472909127965241,-0.00488425925925926,0.003383699384093064,-0.006467879318009023,-0.0033006392005094968,0.007685185185185191,0.0033801135865405996,0.006103243331348486,0.009267127039021895,0.014537037037037048,0.005383126612499499,0.012017656230804821,0.017056417843269275,0.0404309868352447,0.006561008706191511,0.037360340240100556,0.04350163343038885,1.8486729565500355,0.07010679557376531,1.815861966233577,1.881483946866494,3481600.0,0.0,3481600.0,3481600.0
permuted_digits,mlp_ft,10,0.5339629629629631,0.03820346383093557,0.5066338512795028,0.5612920746464234,0.6442345679012345,0.028040069383524564,0.6241759106238336,0.6642932251786353,0.9105925925925925,0.010500651375851756,0.9030808791136866,0.9181043060714984,-0.47078703703703706,0.04890755680033527,-0.5057733955483095,-0.43580067852576465,0.47078703703703706,0.04890755680033527,0.43580067852576465,0.5057733955483095,0.6274074074074074,0.05823968575464043,0.585745246001264,0.6690695688135508,0.9858236199092062,0.010357266475280687,0.9784144778091357,0.9932327620092767,0.4595101026000066,0.052908711989561985,0.4216614900922605,0.49735871510775265,153680.0,0.0,153680.0,153680.0
permuted_digits,mlp_joint,10,0.899148148148148,0.012093788343882582,0.8904967731370041,0.9077995231592919,0.9080123456790125,0.011227925801494143,0.8999803714171875,0.9160443199408375,0.9121111111111111,0.011904525440201688,0.9035951266251594,0.9206270955970628,-0.01620370370370371,0.005192161679401445,-0.01991795241797978,-0.012489454989427643,0.017037037037037045,0.005398147265809663,0.013175435110993441,0.020898638963080647,0.03296296296296297,0.008979306936280577,0.02653955373526437,0.03938637219066157,0.2790144766461009,0.09905140886103699,0.2081573672712342,0.3498715860209676,1.15965826799993,0.21287695381475139,1.0073752689665496,1.3119412670333106,153680.0,0.0,153680.0,153680.0
permuted_digits,mlp_replay,10,0.8605185185185185,0.012485870691536631,0.8515866646922711,0.8694503723447659,0.8851111111111111,0.009573046096726604,0.8782629664746422,0.89195925574758,0.9096296296296297,0.008123794506845467,0.9038182171264713,0.9154410421327881,-0.06138888888888888,0.016472925138311265,-0.07317290964811761,-0.049604868129660154,0.061712962962962956,0.016742298103932608,0.0497362443924952,0.07368968153343071,0.09074074074074075,0.028900493606715153,0.07006657305321602,0.11141490842826547,0.9322590376806564,0.03166045276168581,0.9096105141514265,0.9549075612098864,0.7415476177000528,0.06012686867083866,0.6985354469619772,0.7845597884381285,153680.0,0.0,153680.0,153680.0
permuted_digits,param_null,20,0.9022962962962964,0.01110044972587467,0.897101125906847,0.9074914666857458,0.9204753086419754,0.011244115857896938,0.915212900433025,0.9257377168509258,0.9261666666666667,0.009088304869146717,0.9219132090579697,0.9304201242753637,-0.029837962962962962,0.005862759946563824,-0.03258181907933651,-0.027094106846589413,0.030393518518518514,0.005662699355906096,0.027743293640729663,0.03304374339630737,0.04657407407407407,0.00850271862990557,0.04259467926154323,0.05055346888660492,1.7852386235972517e-13,4.2157878888426256e-14,1.587933676958355e-13,1.9825435702361484e-13,1.6132771508499673,0.10213182731385416,1.5654779843130922,1.6610763173868424,3481600.0,0.0,3481600.0,3481600.0
permuted_digits,replay,20,0.908074074074074,0.010277079687582295,0.90326425272436,0.9128838954237881,0.9230987654320989,0.010808521464274072,0.9180402216747197,0.9281573091894781,0.9285370370370369,0.00865137101790779,0.9244880707653723,0.9325860033087016,-0.025578703703703697,0.00535681516749638,-0.028085770374620737,-0.023071637032786658,0.026365740740740738,0.0049760159550077945,0.024036893587221716,0.02869458789425976,0.04166666666666667,0.007516256777699062,0.03814895021235215,0.04518438312098119,0.10057375552515005,0.017470461556207836,0.09239732783003941,0.10875018322026068,1.7850474577000568,0.1005324671551311,1.737996814758518,1.8320981006415955,3481600.0,0.0,3481600.0,3481600.0
permuted_digits,unwrapped,20,0.3740740740740741,0.02974927112035892,0.3601509866092541,0.38799716153889413,0.49719135802469133,0.0157015782620557,0.4898427931945194,0.5045399228548633,0.9309074074074074,0.009147848248195669,0.9266260826395086,0.9351887321753062,-0.6960416666666667,0.03477675217811944,-0.7123176876945219,-0.6797656456388115,0.6960416666666667,0.03477675217811944,0.6797656456388115,0.7123176876945219,0.7791666666666668,0.0471935470785638,0.7570794067438422,0.8012539265894913,5.7132075766405075,1.0214479374383127,5.2351552265114645,6.1912599267695505,1.3476429617000805,0.07225709107660185,1.3138256021102346,1.3814603212899264,3481600.0,0.0,3481600.0,3481600.0
permuted_digits,vanish,20,0.9149629629629628,0.009712047957689098,0.9104175846029231,0.9195083413230024,0.9262283950617286,0.010718758547000825,0.9212118616427956,0.9312449284806616,0.9317777777777778,0.009478191436979687,0.9273418476384654,0.9362137079170902,-0.021018518518518513,0.004930295296465095,-0.023325967745168548,-0.018711069291868478,0.021874999999999995,0.004903854593150928,0.019579925403416867,0.024170074596583123,0.03898148148148147,0.008716551423416282,0.034902009841022597,0.043060953121940346,2.583833147440373e-11,3.3127847498820357e-12,2.428790048609073e-11,2.7388762462716732e-11,1.5510055748498872,0.055656221626942295,1.5249576613215783,1.5770534883781961,4547200.0,0.0,4547200.0,4547200.0
rotated_digits,functional_l2,20,0.9430740740740742,0.00662658516350424,0.9399727367521857,0.9461754113959626,0.9459567901234569,0.006571270760147658,0.9428813407392218,0.949032239507692,0.9406111111111113,0.00794471820754519,0.9368928685350335,0.9443293536871891,0.003078703703703707,0.004814240762750042,0.0008255696707626654,0.005331837736644749,0.006828703703703705,0.003259397009981102,0.005303258946790538,0.008354148460616872,0.01740740740740741,0.008180866439351364,0.013578644056793739,0.02123617075802108,0.07113532526034251,0.01569493779945061,0.06378986826233507,0.07848078225834995,1.7784447808999857,0.10363881445763534,1.7299403226695313,1.82694923913044,3481600.0,0.0,3481600.0,3481600.0
rotated_digits,joint_refit,20,0.9511111111111111,0.006584944202126224,0.9480292623590447,0.9541929598631775,0.9520185185185183,0.006187412946250025,0.9491227201212041,0.9549143169158324,0.9467222222222222,0.0070624093738734925,0.9434169128912143,0.9500275315532302,0.0054861111111111195,0.004760041861156524,0.003258342944927979,0.00771387927729426,0.0057638888888888904,0.002319561410286713,0.0046783007322990025,0.006849477045478778,0.014074074074074095,0.0069912328938723615,0.010802076361105004,0.017346071787043185,0.1370624589682879,0.023771712006222967,0.12593695528411017,0.14818796265246562,1.824587875300017,0.09946195051533918,1.7780382495682132,1.871137501031821,3481600.0,0.0,3481600.0,3481600.0
